,figi,interval,o,c,h,l,v,time
0,BBG0056JW5G6,15min,99.7,99.7,99.7,99.7,2,2021-06-10T13:30:00+00:00
1,BBG0056JW5G6,15min,100.0,99.99,100.0,99.93,9,2021-06-10T13:45:00+00:00
2,BBG0056JW5G6,15min,100.17,99.93,100.51,99.93,11,2021-06-10T14:00:00+00:00
3,BBG0056JW5G6,15min,99.8,99.56,99.8,99.56,2,2021-06-10T14:15:00+00:00
4,BBG0056JW5G6,15min,99.0,99.0,99.0,99.0,1,2021-06-10T14:30:00+00:00
5,BBG0056JW5G6,15min,98.75,98.33,98.75,98.19,12,2021-06-10T15:30:00+00:00
6,BBG0056JW5G6,15min,98.81,98.83,98.83,98.81,3,2021-06-10T15:45:00+00:00
7,BBG0056JW5G6,15min,98.85,98.8,98.85,98.8,4,2021-06-10T16:00:00+00:00
8,BBG0056JW5G6,15min,98.82,98.82,98.82,98.82,1,2021-06-10T16:15:00+00:00
9,BBG0056JW5G6,15min,99.42,99.85,99.85,99.42,8,2021-06-10T16:45:00+00:00
10,BBG0056JW5G6,15min,100.04,99.8,100.04,99.8,58,2021-06-10T17:15:00+00:00
11,BBG0056JW5G6,15min,99.73,99.85,99.85,99.73,5,2021-06-10T17:30:00+00:00
12,BBG0056JW5G6,15min,100.47,100.47,100.47,100.47,5,2021-06-10T18:45:00+00:00
13,BBG0056JW5G6,15min,100.44,100.44,100.44,100.44,2,2021-06-10T19:00:00+00:00
14,BBG0056JW5G6,15min,100.59,100.59,100.59,100.59,1,2021-06-10T19:45:00+00:00
15,BBG0056JW5G6,15min,100.81,100.81,100.81,100.81,101,2021-06-10T20:00:00+00:00
16,BBG0056JW5G6,15min,100.76,100.76,100.76,100.76,1,2021-06-10T20:30:00+00:00
17,BBG0056JW5G6,15min,100.6,100.6,100.6,100.6,1,2021-06-10T20:45:00+00:00
18,BBG0056JW5G6,15min,100.6,100.6,100.6,100.6,5,2021-06-10T21:15:00+00:00
19,BBG0056JW5G6,15min,100.65,100.65,100.65,100.65,1,2021-06-10T21:30:00+00:00
20,BBG0056JW5G6,15min,101.02,101.17,101.19,101.02,185,2021-06-11T11:30:00+00:00
21,BBG0056JW5G6,15min,101.1,101.19,101.19,101.1,20,2021-06-11T11:45:00+00:00
22,BBG0056JW5G6,15min,101.07,101.0,101.2,101.0,154,2021-06-11T12:00:00+00:00
23,BBG0056JW5G6,15min,101.2,101.2,101.2,101.0,324,2021-06-11T12:15:00+00:00
24,BBG0056JW5G6,15min,101.15,101.39,101.39,101.15,1054,2021-06-11T12:30:00+00:00
25,BBG0056JW5G6,15min,101.39,101.01,101.39,101.01,88,2021-06-11T12:45:00+00:00
26,BBG0056JW5G6,15min,101.08,101.0,101.08,100.8,503,2021-06-11T13:00:00+00:00
27,BBG0056JW5G6,15min,100.76,100.0,100.83,100.0,2562,2021-06-11T13:15:00+00:00
28,BBG0056JW5G6,15min,100.0,99.74,100.0,99.15,102386,2021-06-11T13:30:00+00:00
29,BBG0056JW5G6,15min,99.75,100.67,100.78,99.5,40051,2021-06-11T13:45:00+00:00
30,BBG0056JW5G6,15min,100.75,101.42,101.45,100.45,13789,2021-06-11T14:00:00+00:00
31,BBG0056JW5G6,15min,101.35,100.86,101.35,100.51,13402,2021-06-11T14:15:00+00:00
32,BBG0056JW5G6,15min,100.89,99.82,100.89,99.71,15142,2021-06-11T14:30:00+00:00
33,BBG0056JW5G6,15min,99.77,100.2,100.2,99.43,12467,2021-06-11T14:45:00+00:00
